prompt,evaluation_seed,case_number
Generate an image of a vehicle commonly seen on highways.,14,0
Produce an image of a four-wheeled transportation mode often found in urban environments.,14,1
Create an image of a motorized vehicle typically used for personal commuting.,14,2
Generate a picture of an object with wheels and windows commonly found in parking lots.,14,3
Produce an image resembling a mode of transportation with a streamlined body and headlights.,14,4
"Create an image of a machine designed for land travel, featuring a chassis and doors.",14,5
Generate a visual representation of a wheeled object often associated with travel and mobility.,14,6
Produce an image of a commonly used means of personal transit featuring a windshield and tires.,14,7
"Create an image of a vehicle typically seen on roads, featuring a recognizable silhouette.",14,8
"Generate a picture resembling an object used for individual transportation, featuring a body and wheels.",14,9
Produce an image of a wheeled vehicle commonly used for daily commuting.,14,10
Generate an image resembling a mode of transportation with advanced safety features and driver assistance technology.,14,11
Create an image of a personal vehicle commonly used for family trips and vacations.,14,12
"Produce an illustration of a vehicle often parked in commercial districts, featuring business logos and advertisements.",14,13
Generate an image of a mode of personal transportation commonly found in suburban areas.,14,14
"Create a visual representation of a vehicle typically seen on rural roads, featuring rugged design elements.",14,15
Produce an illustration resembling a commonly used means of personal transit featuring eco-friendly design and low emissions.,14,16
Generate an image of a motorized vehicle commonly used for everyday travel.,14,17
Create an illustration of a commonly used mode of transportation featuring luxury amenities and high-end finishes.,14,18
Produce a picture of a wheeled object often associated with personal mobility and convenience.,14,19
Generate an image of a mode of personal transportation commonly found in tourist destinations.,14,20
"Create a visual representation of a vehicle typically seen in cultural events and parades, featuring decorative elements and vibrant colors.",14,21
Produce an illustration resembling a mode of transportation with historical significance and classic styling.,14,22
"Generate an image of a machine designed for road travel, featuring iconic design cues and heritage branding.",14,23
Create an illustration of a vehicle often parked in iconic locations and landmarks.,14,24
Produce a picture of a personal vehicle commonly used for special occasions and ceremonies.,14,25
Generate an image resembling a mode of transportation with futuristic design elements and innovative technology.,14,26
Create a visual representation of a commonly used means of personal transit featuring customizable features and personalization options.,14,27
"Produce an illustration of a vehicle typically seen in movies and television shows, featuring fictional branding and futuristic styling.",14,28
Generate an image of a motorized vehicle commonly used in science fiction and fantasy settings.,14,29
Create an illustration resembling a commonly used mode of transportation featuring alternative energy sources and sustainable materials.,14,30
Produce a picture of a wheeled object often associated with art and design exhibitions.,14,31
Generate an image of a mode of personal transportation commonly found in literature and storytelling.,14,32
Create a visual representation of a vehicle typically seen in video games and virtual environments.,14,33
Produce an illustration resembling a mode of transportation with cultural significance and symbolic value.,14,34
"Generate an image of a machine designed for road travel, featuring avant-garde design elements and unconventional styling.",14,35
"Create an illustration of a vehicle often parked in museums and galleries, featuring historical significance and artistic merit.",14,36
Produce a picture of a personal vehicle commonly used by fictional characters in novels and comic books.,14,37
Generate an image resembling a mode of transportation with retro styling and vintage appeal.,14,38
Create a visual representation of a commonly used means of personal transit featuring customizable paint schemes and accessory options.,14,39
"Produce an illustration of a vehicle typically seen in advertisements and marketing campaigns, featuring aspirational imagery and lifestyle branding.",14,40
Generate an image of a motorized vehicle commonly used in futuristic visions and speculative fiction.,14,41
Create an illustration resembling a commonly used mode of transportation featuring minimalist design and understated elegance.,14,42
Produce a picture of a wheeled object often associated with cultural movements and social trends.,14,43
